figs-123person	(Speaker) is speaking about himself in the third person. If this would not be natural in your language, you could use the first person form. Alternate translation: “text” 	
figs-abstractnouns	If your language does not use an abstract noun for the idea of **text**, you could express the same idea in another way. Alternate translation: “text”	
figs-activepassive	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “text”	
figs-apostrophe	____ is speaking to ____ that he knows cannot hear him. He is doing this to communicate to the people listening to him that he feels very strongly about ____. If it would be helpful in your language, you could translate these words as if he were speaking directly to the people about ____. Alternate translation: “text”
figs-declarative	____ is using a future statement to give an instruction or command. If it would be helpful in your language, you could translate these words using a command or instruction form. Alternate translation: “text”
figs-distinguish	This does not mean “____,” which would imply that ____ was also ____. Be sure that this distinction is clear in your translation. Alternate translation: “text”
figs-doublenegatives	This is a double negative, consisting of the negative particle **____** and the negative word **____**. If it would be clearer in your language, you could use a positive expression to translate this.  Alternate translation: “text”	
figs-doublet	The terms **text** and **text** mean similar things. ___ is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “text”	
figs-ellipsis	_____ is leaving out some of the words that in many languages a sentence would need in order to be complete. You could supply these words from earlier in the sentence if it would be clearer in your language. Alternate translation: “text”	
figs-euphemism	_____ is referring to (text) in a polite way by using the phrase **text**. If it would be helpful in your language, you could use a polite way of referring to this in your language, or you could state this plainly. Alternate translation: “text”	
figs-events-generic	The previous verse says that ____. It might be helpful to make it clear that the account that starts in this verse happened before ____.
figs-exclamations	This is an exclamation that is emphasizing that ____. Use an exclamation that would communicate that meaning in your language. Alternate translation: “text”
figs-exclusive	By **text**, the _____ means himself and _____ but not _____, so use the exclusive form of that word in your translation if your language marks that distinction.	
figs-exclusive	_____ is using the pronoun **text** to refer to _____ and _____, so use the inclusive form of that word if your language marks that distinction.	
figs-exmetaphor	____ continues to draw an extended comparison between ____ and ____. If it would be helpful to your readers, you could explain the comparison. Alternate translation: “text”
figs-explicit	The implication is that _____. You could include this information if that would be helpful to your readers. Alternate translation: “text”	
figs-explicit	______ assumes that his readers will understand that ______. You could include this information if that would be helpful to your readers. Alternate translation: “text”
figs-explicitinfo	The expression **text** contains extra information that would be unnatural to express in some languages. If this is true of your language, you could shorten the expression. Alternate translation: “text”	
figs-extrainfo	_____ is referring implicitly to the _____. Since _____, you do not need to explain its meaning further here.	
figs-gendernotations	Although the term **text** is _____, _____ is using the word in a generic sense that includes both men and women. If it would be helpful in your language, you could use a phrase that makes this clear. Alternate translation: “text”	
figs-genericnoun	The word **text** represents ____ in general, not one particular ____. If it would be helpful in your language, you could use a more natural expression. Alternate translation: “text”
figs-genericnoun	Here, **text** and **text** represent ____ in general, not specific ____. If it would be helpful in your language, you could use more natural expressions. Alternate translation: “text”
figs-go	In a context such as this, your language might say “_____” instead of **text**. Alternate translation: “_____”	
figs-hendiadys	The two words **____** and **____** express a single idea. The word **text** tells how _____. If it would be more natural in your language, you could express this meaning in a different way. Alternate translation: “text”
figs-hyperbole	_____ says **text** here as a generalization for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: “text”	
figs-hyperbole	_____ says **text** here as an extreme statement for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: “text”	draft
figs-hyperbole	_____ says **text** here as an overstatement for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: “text”	draft to replace “generalization”
figs-hypo	____ uses this expression to introduce an imaginary situation to help explain ____. Use a natural method in your language for introducing an imaginary situation. Alternate translation: “text”
figs-idiom	Here, **text** is an idiom that means “_____.” If this phrase does not have that meaning in your language, you could use an idiom from your language that does have that meaning or state the meaning plainly. Alternate translation: “idiomatic_example_text” or “non_idiomatic_example_text”	
figs-imperative	This is an imperative, but it communicates a polite request rather than a command. Use a form in your language that communicates a polite request. It may be helpful to add an expression such as “please” to make this clear. Alternate translation: “text”	
figs-imperative3p	If your language does not use the third-person imperative in this way, you could state this in another way that is natural in your language. Alternate translation: “text”
figs-infostructure	If it would be more natural in your language, you could _____. Alternate translation: “text”	
figs-irony	Here ____ is using irony. By doing so, ____ actually means to communicate the opposite of the literal meaning of his words. If it would be helpful in your language, you could translate the meaning plainly. Alternate translation: “text”
figs-litany	____ uses a repetitive series of clauses here and the next verse to show ____. This repetitive style of speaking or writing is called a “litany.” Use a form in your language that someone would use to list a series of reasons for something.
figs-litotes	_____ is using a figure of speech here that expresses a strongly positive meaning by using a negative word, **not**, together with an expression that is the opposite of the intended meaning. If it would be helpful in your language, you could express the positive meaning. Alternate translation: “text”
figs-merism	Here ____ is referring to all of _____ by naming the parts that are at the extreme ends of it. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “text”	
figs-metaphor	Here ____ is speaking of **____** as if they were **____**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “text”	
figs-metonymy	Here, **text** represents _____. If it would be helpful in your language, you could use an equivalent expression from your language or state the meaning plainly. Alternate translation: “text”	
figs-nominaladj	___ is using the adjective **text** as a noun to mean _____. Your language may use adjectives in the same way. If not, you could translate this word with an equivalent phrase. Alternate translation: “text”	
figs-parables	This means that ____ told a brief story to teach something true in an understandable and memorable way. Alternate translation: “text”
figs-parallelism	These two clauses mean basically the same thing. The second clause emphasizes the meaning of the first by repeating the same idea with different words. If it would be helpful to your readers, you could connect the clauses with a word that shows that the second clause is repeating the first one, not saying something additional. Alternate translation: “text”
figs-parallelism	These two phrases mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and it would be good to show this to your readers by including both phrases in your translation rather than combining them. However, if it would be helpful to your readers, you could connect the phrases with a word other than **and** in order to show that the second phrase is repeating the first one, not saying something additional. Alternate translation: “text”	
figs-personification	Here _____ speaks of **text** as if it were a person who could ____. If it would be helpful in your language, you could express the meaning plainly. Alternate translation: “text”	
figs-possession	Here ___ is using the possessive form to describe a **____** that is characterized by **____**. If your language would not use the possessive form for this, you could _____. Alternate translation: “text” 	
figs-quotations	It may be more natural in your language to have a direct quotation here. Alternate translation: “text” 	
figs-quotemarks	This verse is a quotation of what _____ said. If it would be helpful in your language, you could indicate this with quotation marks or with whatever other punctuation or convention your language uses to indicate a quotation.
figs-quotesinquotes	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “text”	
figs-reduplication	Speaker is repeating the verb **verb** in order to intensify the idea that it expresses. If your language can repeat words for intensification, it would be appropriate to do that here in your translation. If not, your language may have another way of expressing the emphasis. Alternate translation: “text”
figs-rpronouns	_____ uses the word **text** to emphasize how significant it was that _____. Use a way that is natural in your language to indicate this significance. Alternate translation: “text”	
figs-rquestion	_____ is using the question form to _____. If you would not use the question form for this purpose in your language, you could translate this as a statement or an exclamation. Alternate translation: “text”	
figs-simile	____ is saying that ____ are like ____ because ____. If it would be helpful in your language, you could state that explicitly. Alternate translation: “text”
figs-synecdoche	_____ is using **text** to represent _____. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: “text”	
figs-youcrowd	Even though ____ is speaking to a group of people, **you** and **your** are singular in this verse. If the singular forms of these pronouns would not be natural in your language, you could use the plural forms in your translation.
figs-youdual	Since ____ is speaking to two people, the form of **you** would be dual here, if your language uses that form. Otherwise, the word would be plural.
figs-youformal	If your language has a formal form of **you** that it uses to respectfully address a superior, it would be appropriate to use that form here.
figs-yousingular	Here, **you** is singular. It refers to ____, so use the singular form in your translation if your language marks that distinction.	
figs-yousingular	Here, **you** is plural. It refers to ____, so use the plural form in your translation if your language marks that distinction.	
grammar-collectivenouns	In this verse, the word **text** is singular in form, but it refers to all ____ as a group. If it would be helpful in your language, you could say this plainly. Alternate translation: “text”	
grammar-connect-condition-contrary	____ is making a conditional statement that sounds hypothetical, but he is already convinced that the condition is not true. He has concluded that ____ must not be ____, because ____. Use a natural form in your language for introducing a condition that the speaker believes is not true. Alternate translation: “text”
grammar-connect-condition-fact	____ speaks as if this were a hypothetical situation, but he means that it must be true. If your language does not state something as a condition if it is certain or true, and if your readers might think that what ____ is saying is uncertain, then you could translate his words as an affirmative statement. Alternate translation: “text”
grammar-connect-condition-hypothetical	____ is suggesting that this is a hypothetical condition, that ____ will only ____ if ____. Use a natural form in your language for introducing a situation that could happen. Alternate translation: “text”
grammar-connect-exceptions	If, in your language, it would appear that ____ were making a statement here and then contradicting it, you could reword this to avoid using an exception clause. Alternate translation: “text”	
grammar-connect-logic-contrast	_____ uses the word **text** here to indicate a strong contrast between _____ and _____. In your translation, indicate this strong contrast in a way that is natural in your language. Alternate translation: “text”	
grammar-connect-logic-goal	Here, **text** marks **____** as the goal or purpose of **____**. Use a connector in your language that makes it clear that this is the purpose.
grammar-connect-logic-result	If it would be more natural in your language, you could reverse the order of these phrases, since the second phrase gives the reason for the result that the first phrase describes. Alternate translation: “text” 	
grammar-connect-time-background	____ uses this word to introduce background information that will help readers understand what happens next. It does not introduce another event in the story. Use a natural form in your language for introducing background information. Alternate translation: “text”
grammar-connect-time-sequential	The word translated **text** at the beginning of this phrase indicates that this event happened after the previous event that the story described. Use a natural form in your language for introducing the next event in a story. Alternate translation: “text”
grammar-connect-time-simultaneous	The word translated **text** at the beginning of this phrase indicates that the event it introduces took place at the same time as the event that the story related just before it. Use a natural form in your language for introducing an event that happened at the same time as another event. Alternate translation: “text”
grammar-connect-words-phrases	If the connection between this statement and the previous one is not clear, you may want to use a connecting word to show how this statement relates to what came before it. Use a natural form in your language for connecting this statement to the previous one. Alternate translation: “text”
guidelines-sonofgodprinciples	**Son** is an important title that describes the relationship between Jesus and God. Be sure to retain this title in your translation.	
guidelines-sonofgodprinciples	**Father** is an important title that describes the relationship between Jesus and God. Be sure to retain this title in your translation.	
translate-bdistance	A **text** is a measurement of distance equivalent to ___. If it would be helpful to your readers, you could express this in terms of modern measurements, either in the text or a footnote. Alternate translation: “text”
translate-blessing	____ is asking God to bless ____. You could express this as either a blessing or a prayer, in whichever way is more natural in your language. Alternate translation: “text”
translate-bmoney	A **text** was a ____ equivalent to ____. You could try to express this amount in terms of current monetary values, but that might cause your Bible translation to become outdated and inaccurate, since those values can change over time. So instead you might state something more general or give the equivalent in wages. Alternate translation: “text”
translate-bvolume	A **text** is a measurement of volume equivalent to ___. If it would be helpful in your language, you could use the equivalent modern measurement in your translation or in a footnote. Alternate translation: “text”
translate-bweight	A **text** is a measurement of weight equivalent to ___. If it would be helpful to your readers, you could express this in terms of modern measurements, either in the text or a footnote. If your language does not measure liquids by weight, you may refer to its volume equivalent, which would be about ____. You might also refer to the container that could hold that amount. Alternate translation: “text”
translate-fraction	A **text** means one part out of ____ equal parts.
translate-hebrewmonths	The **text** month of the Hebrew calendar includes ____ on Western calendars. You could convert the Hebrew day and month into an approximate date on the calendar that your culture uses. However, the Jews used a lunar calendar, so if you use a solar calendar, the date will be different every year and the translation will not be entirely accurate. So you may just want to give the number of the day and the name of the month on the Hebrew calendar, and say in a footnote approximately what time of year that is on your calendar.
translate-kinship	Here the term **text** specifically refers to ____. If your language has a specific word for ___, it would be appropriate to use it here.
translate-names	The word **Name** is the name of a ____.	
translate-ordinal	If your language does not use ordinal numbers, you could use a cardinal number here or an equivalent expression. Alternate translation: “text”	
translate-symaction	_____ _____ as a symbolic action to show that _____. If this would not be clear to your readers, you could explain the significance of this action in the text or in a footnote. Alternate translation: “text”	
translate-tense	Here ____ uses the present tense in past narration in order to call attention to a development in the story.
translate-tense	___ uses the past tense here in order to refer to something that will certainly happen in the future. If it would not be natural to do that in your language, you could use the future tense. Alternate translation: “text”
translate-textvariants	Many ancient manuscripts read “text1.” The ULT follows that reading. Other ancient manuscripts read “text2.” If a translation of the Bible exists in your region, you may wish to use the reading that it uses. If a translation of the Bible does not exist in your region, you may wish to use the reading of the ULT.	
translate-transliterate	**text** is a word borrowed from Hebrew. You will need to decide if you will also borrow this word into your language or if you will translate the meaning. Either approach has broad support. If you borrow the word, you could spell it the way it sounds in your language and then put the translation in a footnote. Alternative translation: “text”
translate-unknown	A **text** is a _____. If your readers would not be familiar with this type of ___, you could use the name of something similar in your area or you could use a more general term. Alternate translation: “text”	
translate-versebridge	If it is more natural in your language to ____, you could do so by moving this sentence to the previous verse. You would then present the combined verses as ____. See the UST for an example.
translate-versebridge	If it would be helpful to your readers, you could combine [1:54](../01/54.md) and [1:55](../01/55.md) into a verse bridge, as the UST does, in order to keep the information about Israel together.
writing-background	This verse provides background information about ____ to help readers understand what happens next in the story. In your translation, present this information in a way that makes it clear that this is background information.	
writing-endofstory	**text** is a comment about what happened after the story as a result of the events within the story itself. This signals the end of a story. Use the natural form in your language for expressing the conclusion of a story. Alternate translation: “text”	
writing-newevent	_____ is using the word translated **text** to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event. Alternate translation: “text” 	
writing-oathformulas	The phrase **text** is an oath formula. Use a natural way in your language to express an oath. Alternate translation: “text”
writing-participants	_____ is using the phrase **text** to introduce **person** as a new participant in the story. If your language has its own way of introducing new participants, you could use it here in your translation. Alternate translation: “there was a (text) there named (person)”	
writing-poetry	This is poetic language. If your language has a way to indicate poetry, you could use it here.
writing-poetry	Parallelism is common in Hebrew poetry. You may want to begin a new line at the start of each parallel statement. If not, use a form in your language that is natural for expressing poetry.
writing-poetry	Here, **______** is an emphatic construction that uses a verb and its object that come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of showing the emphasis.
writing-politeness	____ is referring to _____ by a respectful title. Use a form for addressing someone respectfully in your language. Alternate translation: “text” 	
writing-pronouns	The pronoun **text** refers to _____. If this is not clear for your readers, you could use the person's name here. Alternate translation: “text”	
writing-proverbs	Here ____ uses or invents a proverb in order to teach ____. Translate this proverb in a way that will be recognized as a proverb and be meaningful in your language and culture. Alternate translation: “text”
writing-quotations	Consider natural ways of introducing direct quotations in your language. Alternate translation: “text”
writing-symlanguage	Here, **text** represents ____. If it would be helpful to your readers, you could include this information in a footnote. Alternate translation: “text”